domain,dns_cn,dns_cn_count,dns_total,registrar_cn,registrant_cn,cn_tld,score,resolved_ips,matched_cidr,source,updated,sticky,bucket,dns_hk,dns_mo,dns_tw,dns_jp,dns_kr,dns_sg,provider,cdn_masked
bydauto.com.cn,1,2,2,0,0,1,100,47.106.90.124|47.107.51.11,47.96.0.0/11,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
bytedance.net,0,0,1,0,0,0,100,10.8.6.210,,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
byteimg.com,0,0,0,0,0,0,100,,,seed_cn,2026-04-12,1,CN,0,0,0,0,0,0,,0
caac.gov.cn,0,0,0,0,0,1,60,,,seed_cn,2026-04-10,1,CN,0,0,0,0,0,0,,0
cac.gov.cn,1,1,1,0,0,1,100,111.62.149.146,111.0.0.0/10,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
cae.cn,1,1,1,0,0,1,100,47.94.130.0,47.92.0.0/14,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,Alibaba Cloud,0
caict.ac.cn,1,1,1,0,0,1,100,219.239.97.52,219.224.0.0/12,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
caixin.com,1,1,1,0,0,0,100,106.3.129.147,106.2.0.0/15,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
capitalonline.com.cn,0,0,1,0,0,1,100,208.98.43.72,,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
capitalonline.net,1,1,1,0,0,0,100,106.3.136.106,106.2.0.0/15,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
cas.cn,1,1,1,0,0,1,100,159.226.242.61,159.226.0.0/16,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
castfund.com,0,0,0,0,0,0,100,,,seed_cn,2026-04-12,1,CN,0,0,0,0,0,0,,0
catl.com,1,1,1,0,0,0,100,203.107.60.192,203.107.0.0/17,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
cbirc.gov.cn,0,0,0,0,0,1,60,,,seed_cn,2026-04-10,1,CN,0,0,0,0,0,0,,0
cbn.cn,0,0,0,0,0,1,60,,,seed_cn,2026-04-10,1,CN,0,0,0,0,0,0,,0
ccb.com,1,1,1,0,0,0,100,124.126.72.25,124.126.0.0/15,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
ccb.com.cn,0,0,0,0,0,1,60,,,seed_cn,2026-04-10,1,CN,0,0,0,0,0,0,,0
cctv.com,1,1,1,0,0,0,100,39.107.241.57,39.104.0.0/14,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,Alibaba Cloud,0
cebbank.com,0,0,0,0,0,0,100,,,seed_cn,2026-04-12,1,CN,0,0,0,0,0,0,,0
cernet.edu.cn,1,1,1,0,0,1,100,202.205.109.203,202.192.0.0/12,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
cf.qq.com,1,2,2,0,0,0,100,180.163.140.110|61.170.88.198,180.160.0.0/12|61.128.0.0/10,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
cfets.com.cn,0,0,0,0,0,1,60,,,seed_cn,2026-04-10,1,CN,0,0,0,0,0,0,,0
cffex.com.cn,0,0,0,0,0,1,60,,,seed_cn,2026-04-10,1,CN,0,0,0,0,0,0,,0
cgnpc.com.cn,0,0,0,0,0,1,60,,,seed_cn,2026-04-10,1,CN,0,0,0,0,0,0,,0
cgtn.com,1,1,1,0,0,0,100,54.222.252.100,54.222.0.0/15,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
changhong.com,1,1,1,0,0,0,100,119.3.178.227,119.3.0.0/16,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
charity.gov.cn,0,0,0,0,0,1,60,,,seed_cn,2026-04-10,1,CN,0,0,0,0,0,0,,0
chery.com.cn,0,0,1,0,0,1,100,101.32.10.112,,seed_cn,2026-05-08,0,CN,0,0,0,0,0,1,,0
china.com.cn,1,1,1,0,0,1,100,202.130.245.42,202.130.224.0/19,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
china.org.cn,1,1,1,0,0,1,100,202.130.245.42,202.130.224.0/19,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
chinaamc.com,0,0,0,0,0,0,100,,,seed_cn,2026-04-12,1,CN,0,0,0,0,0,0,,0
chinabond.com.cn,0,0,0,0,0,1,60,,,seed_cn,2026-04-10,1,CN,0,0,0,0,0,0,,0
chinabond.gov.cn,0,0,0,0,0,1,60,,,seed_cn,2026-04-10,1,CN,0,0,0,0,0,0,,0
chinabyte.com,1,1,1,0,0,0,100,120.48.6.179,120.48.0.0/15,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
chinacache.com,1,1,1,0,0,0,100,203.107.45.167,203.107.0.0/17,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
chinacdc.cn,1,1,1,0,0,1,100,219.141.213.27,219.128.0.0/11,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
chinaclear.cn,0,0,0,0,0,1,60,,,seed_cn,2026-04-10,1,CN,0,0,0,0,0,0,,0
chinaclearing.com.cn,0,0,0,0,0,1,60,,,seed_cn,2026-04-10,1,CN,0,0,0,0,0,0,,0
chinadaily.com.cn,1,1,1,0,0,1,100,111.13.49.147,111.0.0.0/10,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
chinamobile.com,1,1,1,0,0,0,100,211.136.27.3,211.136.0.0/13,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
chinamoney.com.cn,0,0,0,0,0,1,60,,,seed_cn,2026-04-10,1,CN,0,0,0,0,0,0,,0
chinanetcenter.com,0,0,0,0,0,0,100,,,seed_cn,2026-04-12,1,CN,0,0,0,0,0,0,,0
chinatax.gov.cn,0,0,0,0,0,1,60,,,seed_cn,2026-04-10,1,CN,0,0,0,0,0,0,,0
chinatelecom.cn,0,0,0,0,0,1,60,,,seed_cn,2026-04-10,1,CN,0,0,0,0,0,0,,0
chinatelecom.com.cn,0,0,0,0,0,1,60,,,seed_cn,2026-04-10,1,CN,0,0,0,0,0,0,,0
chinaunicom.cn,1,1,1,0,0,1,100,120.52.99.224,120.52.0.0/14,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
chinaunicom.com,1,1,1,0,0,0,100,120.52.99.224,120.52.0.0/14,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
chongqing.gov.cn,0,0,0,0,0,1,60,,,seed_cn,2026-04-10,1,CN,0,0,0,0,0,0,,0
chow-tai-fook.com,0,0,0,0,0,0,100,,,seed_cn,2026-04-12,1,CN,0,0,0,0,0,0,,0
chowtaifook.com,0,0,2,0,0,0,100,47.76.120.47|8.217.107.149,,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,Alibaba Cloud,0
chsi.com.cn,1,1,1,0,0,1,100,36.110.136.74,36.96.0.0/11,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
chuangkit.com,1,12,12,0,0,0,100,119.147.113.195|119.147.113.54|121.12.126.153|121.12.169.252|121.12.174.143|121.12.174.56|121.12.174.59|14.29.51.83|183.60.147.169|183.60.155.110|183.60.155.112|59.42.244.117,119.144.0.0/14|121.8.0.0/13|14.16.0.0/12|183.0.0.0/10|59.32.0.0/11,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
cib.com.cn,0,0,0,0,0,1,60,,,seed_cn,2026-04-10,1,CN,0,0,0,0,0,0,,0
citicbank.com,0,0,0,0,0,0,100,,,seed_cn,2026-04-12,1,CN,0,0,0,0,0,0,,0
cloud.189.cn,1,2,2,0,0,1,100,14.116.220.47|14.18.110.142,14.112.0.0/12|14.16.0.0/12,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
cloud.tencent.com,1,2,2,0,0,0,100,14.116.174.67|14.29.51.120,14.112.0.0/12|14.16.0.0/12,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
cmbc.com.cn,0,0,0,0,0,1,60,,,seed_cn,2026-04-10,1,CN,0,0,0,0,0,0,,0
cmbchina.com,1,1,1,0,0,0,100,116.7.243.51,116.4.0.0/14,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
cmcc.com,0,0,1,0,0,0,100,62.50.96.193,,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
cnaps.com.cn,0,0,0,0,0,1,60,,,seed_cn,2026-04-10,1,CN,0,0,0,0,0,0,,0
cnki.net,1,1,1,0,0,0,100,115.31.65.10,115.31.64.0/20,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
cnnc.com.cn,0,0,0,0,0,1,60,,,seed_cn,2026-04-10,1,CN,0,0,0,0,0,0,,0
cnnic.cn,1,2,2,0,0,1,100,182.131.26.231|42.83.144.13,182.128.0.0/12|42.83.128.0/17,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
cnooc.com.cn,0,0,0,0,0,1,60,,,seed_cn,2026-04-10,1,CN,0,0,0,0,0,0,,0
cnpc.com.cn,0,0,0,0,0,1,60,,,seed_cn,2026-04-10,1,CN,0,0,0,0,0,0,,0
cnr.cn,1,1,1,0,0,1,100,220.181.79.10,220.160.0.0/11,seed_cn,2026-05-08,0,CN,0,0,0,0,0,0,,0
cnta.gov.cn,0,0,0,0,0,1,60,,,seed_cn,2026-04-10,1,CN,0,0,0,0,0,0,,0
